Model Name,Threshold,Precision,Recall,F1 Score,ROC AUC,Jaccard Score,True Positives (TP),False Positives (FP),True Negatives (TN),False Negatives (FN),Total Savings ($),Cost of Operation ($),Net Savings ($)
Tuned XGBoost ADASYN (50 Features),0.5,0.866436668309512,0.8195804195804196,0.8423574508864399,0.9973076854440502,0.7276490066225165,1758,271,553303,387,175800,41410,134390
Tuned XGBoost ADASYN (50 Features),0.6,0.8818181818181818,0.813986013986014,0.8465454545454546,0.9973076854440502,0.733921815889029,1746,234,553340,399,174600,42240,132360
Tuned XGBoost ADASYN (50 Features),0.7000000000000001,0.8968377397615345,0.8065268065268065,0.8492881688757977,0.9973076854440502,0.7380546075085325,1730,199,553375,415,173000,43490,129510
Tuned XGBoost ADASYN (50 Features),0.8,0.911811865312667,0.7953379953379953,0.849601593625498,0.9973076854440502,0.7385281385281385,1706,165,553409,439,170600,45550,125050
Tuned XGBoost ADASYN (50 Features),0.9,0.9337047353760446,0.7813519813519814,0.8507614213197969,0.9973076854440502,0.7402826855123675,1676,119,553455,469,167600,48090,119510
Tuned XGBoost ADASYN (50 Features),0.95,0.9468208092485549,0.7636363636363637,0.8454193548387097,0.9973076854440502,0.7322306660706303,1638,92,553482,507,163800,51620,112180
Tuned XGBoost ADASYN (50 Features),0.98,0.9595654797827399,0.7412587412587412,0.8364018937401367,0.9973076854440502,0.7188065099457505,1590,67,553507,555,159000,56170,102830
Tuned XGBoost ADASYN (50 Features),0.99,0.9699248120300752,0.7216783216783217,0.8275862068965517,0.9973076854440502,0.7058823529411765,1548,48,553526,597,154800,60180,94620
Base Stacking Classifiers (50 Features),0.02,0.4285099978499248,0.9291375291375291,0.5865214832254267,0.9966746677363506,0.4149489902144493,1993,2658,550916,152,199300,41780,157520
Base Stacking Classifiers (50 Features),0.1,0.5367060764366236,0.91002331002331,0.6751988931165687,0.9966746677363506,0.5096605744125327,1952,1685,551889,193,195200,36150,159050
Base Stacking Classifiers (50 Features),0.2,0.5972006220839814,0.8951048951048951,0.7164179104477612,0.9966746677363506,0.5581395348837209,1920,1295,552279,225,192000,35450,156550
Base Stacking Classifiers (50 Features),0.30000000000000004,0.6480408858603066,0.8867132867132868,0.7488188976377953,0.9966746677363506,0.5984896161107615,1902,1033,552541,243,190200,34630,155570
Base Stacking Classifiers (50 Features),0.4,0.6906342182890856,0.8731934731934732,0.7712579781758288,0.9966746677363506,0.6276809651474531,1873,839,552735,272,187300,35590,151710
Base Stacking Classifiers (50 Features),0.5,0.7334661354581673,0.8582750582750582,0.7909774436090226,0.9966746677363506,0.654228855721393,1841,669,552905,304,184100,37090,147010
Base Stacking Classifiers (50 Features),0.6,0.7712305025996534,0.8298368298368298,0.7994610375028071,0.9966746677363506,0.6659184436962214,1780,528,553046,365,178000,41780,136220
Base Stacking Classifiers (50 Features),0.7000000000000001,0.8218720152817574,0.8023310023310023,0.8119839584807738,0.9966746677363506,0.6834789515488483,1721,373,553201,424,172100,46130,125970
Base Stacking Classifiers (50 Features),0.8,0.9095534200113058,0.7501165501165501,0.8221768012263669,0.9966746677363506,0.6980477223427332,1609,160,553414,536,160900,55200,105700
Tuned Stacking Classifiers ADASYN (50 Features),0.02,0.20044031779458218,0.9762237762237762,0.33259212198221094,0.9975966700404626,0.19946656506001142,2094,8353,545221,51,209400,88630,120770
Tuned Stacking Classifiers ADASYN (50 Features),0.1,0.33041504539559013,0.9501165501165502,0.490316371947552,0.9975966700404626,0.32478087649402393,2038,4130,549444,107,203800,52000,151800
Tuned Stacking Classifiers ADASYN (50 Features),0.2,0.395453654712914,0.9407925407925408,0.5568432671081678,0.9975966700404626,0.3858508604206501,2018,3085,550489,127,201800,43550,158250
Tuned Stacking Classifiers ADASYN (50 Features),0.30000000000000004,0.43695462478184993,0.9337995337995338,0.5953336305543171,0.9975966700404626,0.4238256453660601,2003,2581,550993,142,200300,40010,160290
Tuned Stacking Classifiers ADASYN (50 Features),0.4,0.46768507638072854,0.9277389277389277,0.621875,0.9975966700404626,0.4512471655328798,1990,2265,551309,155,199000,38150,160850
Tuned Stacking Classifiers ADASYN (50 Features),0.5,0.4972389558232932,0.9235431235431235,0.6464349812367434,0.9975966700404626,0.47757955641272903,1981,2003,551571,164,198100,36430,161670
Tuned Stacking Classifiers ADASYN (50 Features),0.6,0.5310307609282245,0.9174825174825175,0.6727055204238591,0.9975966700404626,0.5068246201390677,1968,1738,551836,177,196800,35080,161720
Tuned Stacking Classifiers ADASYN (50 Features),0.7000000000000001,0.5609195402298851,0.91002331002331,0.6940444444444445,0.9975966700404626,0.5314456847263817,1952,1528,552046,193,195200,34580,160620
Tuned Stacking Classifiers ADASYN (50 Features),0.8,0.5994415141172821,0.9006993006993007,0.7198211624441133,0.9975966700404626,0.5622817229336438,1932,1291,552283,213,193200,34210,158990
Tuned Stacking Classifiers ADASYN (50 Features),0.9,0.6594202898550725,0.8909090909090909,0.7578822129684711,0.9975966700404626,0.6101532567049809,1911,987,552587,234,191100,33270,157830
Tuned Stacking Classifiers ADASYN (50 Features),0.95,0.7108433734939759,0.8801864801864802,0.7865028119141846,0.9975966700404626,0.6481290765533814,1888,768,552806,257,188800,33380,155420
Tuned Stacking Classifiers ADASYN (50 Features),0.98,0.7654166666666666,0.8564102564102564,0.8083608360836083,0.9975966700404626,0.6783604135893648,1837,563,553011,308,183700,36430,147270
Tuned Stacking Classifiers ADASYN (50 Features),0.99,0.8105310531053105,0.8396270396270397,0.8248225326310968,0.9975966700404626,0.7018706157443492,1801,421,553153,344,180100,38610,141490
